id	depth	type	is_leaf	name	path
culture-mass-media-broadcast-media-television-lists-television-programs-british-tv-shows-remade-for-the-american-market	7	event	true	British TV shows remade for the American market	Culture / Mass media / Broadcast media / Television / Lists / Television programs / British TV shows remade for the American market
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster	7	event	false	By broadcaster	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-abc	8	event	true	ABC	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / ABC
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-ant1	8	event	true	ANT1	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / ANT1
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-bbc	8	event	true	BBC	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / BBC
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-cartoon-network	8	event	true	Cartoon Network	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / Cartoon Network
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-cbs	8	event	true	CBS	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / CBS
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-ert	8	event	true	ERT	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / ERT
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-fox	8	event	true	Fox	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / Fox
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-mega-channel	8	event	true	MEGA Channel	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / MEGA Channel
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-mtv	8	event	true	MTV	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / MTV
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-nbc	8	event	true	NBC	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / NBC
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-upn	8	event	true	UPN	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / UPN
culture-mass-media-broadcast-media-television-lists-television-programs-by-characters	7	event	false	By characters	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By characters
culture-mass-media-broadcast-media-television-lists-television-programs-by-characters-muppets	8	event	true	Muppets	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By characters / Muppets
culture-mass-media-broadcast-media-television-lists-television-programs-by-program	7	event	false	By program	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By program
culture-mass-media-broadcast-media-television-lists-television-programs-by-program-invader-zim	8	event	true	Invader Zim	Culture / Mass media / Broadcast media / Television / Lists / Television programs / By program / Invader Zim
culture-mass-media-broadcast-media-television-lists-television-programs-children-s-television-series	7	event	true	Children's television series	Culture / Mass media / Broadcast media / Television / Lists / Television programs / Children's television series
culture-mass-media-broadcast-media-television-lists-television-programs-comedies	7	event	true	Comedies	Culture / Mass media / Broadcast media / Television / Lists / Television programs / Comedies
